user_id,posted_date,recommend,posted_date_num
76561197970982479,2011-11-05,True,20111105
76561197970982479,2011-07-15,True,20110715
76561197970982479,2011-04-21,True,20110421
js41637,2014-06-24,True,20140624
js41637,2013-09-08,True,20130908
js41637,2013-11-29,True,20131129
evcentric,2016-02-03,True,20160203
evcentric,2015-12-04,True,20151204
evcentric,2014-11-03,True,20141103
evcentric,2014-10-15,True,20141015
evcentric,2014-10-15,True,20141015
evcentric,2014-10-15,True,20141015
doctr,2013-10-14,True,20131014
doctr,2012-07-28,True,20120728
doctr,2012-06-02,True,20120602
doctr,2014-06-29,True,20140629
doctr,2012-11-22,True,20121122
doctr,2012-02-23,True,20120223
maplemage,2014-04-15,True,20140415
maplemage,2013-12-23,True,20131223
maplemage,2014-03-14,True,20140314
maplemage,2013-07-11,True,20130711
Wackky,2014-05-05,True,20140505
Wackky,2012-12-24,True,20121224
Wackky,2012-10-21,True,20121021
Wackky,2012-03-20,True,20120320
Wackky,2012-03-09,True,20120309
76561198079601835,2016-05-20,True,20160520
MeaTCompany,2016-07-24,True,20160724
76561198089393905,2015-02-01,True,20150201
76561198089393905,2014-06-20,True,20140620
76561198156664158,2016-06-16,True,20160616
76561198077246154,2016-06-11,True,20160611
76561198077246154,2014-08-25,True,20140825
WeiEDKrSat,2013-12-25,True,20131225
thequeenpanda,2012-06-23,True,20120623
death-hunter,2015-09-05,True,20150905
death-hunter,2015-03-30,True,20150330
death-hunter,2014-02-19,True,20140219
DJKamBer,2014-07-14,True,20140714
DJKamBer,2013-04-27,True,20130427
DJKamBer,2015-07-20,True,20150720
DJKamBer,2013-11-04,True,20131104
DJKamBer,2013-07-12,True,20130712
DJKamBer,2012-08-19,True,20120819
Rainbow-Dashie,2015-06-19,True,20150619
Rainbow-Dashie,2014-09-20,True,20140920
Rainbow-Dashie,2014-09-07,True,20140907
76561198043472122,2014-12-19,False,20141219
MarbleShrine,2015-02-17,True,20150217
PPanther,2014-06-07,True,20140607
devvonst,2014-02-12,True,20140212
devvonst,2014-02-09,True,20140209
devvonst,2015-10-31,True,20151031
Fr0stedLine,2016-02-27,True,20160227
starkillershadow553,2015-02-04,True,20150204
starkillershadow553,2016-08-23,True,20160823
starkillershadow553,2014-04-05,True,20140405
76561198058373434,2015-01-08,True,20150108
76561198048353577,2015-10-26,True,20151026
76561198048353577,2016-05-16,True,20160516
76561198048353577,2013-03-20,True,20130320
76561198066046412,2015-12-28,False,20151228
